WKT,Nombre,Descripción
"LINESTRING (-74.1199297 -42.6597634, -74.1194147 -42.6478958, -74.120788 -42.6311007, -74.1238779 -42.6192277, -74.1278261 -42.6029302, -74.1103167 -42.6052046, -74.0761561 -42.6081737, -74.0679595 -42.6115526, -74.0678304 -42.618595, -74.0696755 -42.6263005, -74.0749544 -42.6300903, -74.0812201 -42.629964, -74.0849108 -42.6280695, -74.0884299 -42.6277538, -74.0932364 -42.6238382, -74.0980429 -42.621312, -74.1007036 -42.620933, -74.1033644 -42.6221962, -74.1069693 -42.6219435, -74.1085142 -42.6235225, -74.1043085 -42.6271854, -74.1056818 -42.6304061, -74.1049093 -42.6314796, -74.1026777 -42.6288905, -74.1011328 -42.6292694, -74.1020769 -42.631227, -74.098472 -42.6350158, -74.0964121 -42.6384886, -74.0930647 -42.6389937, -74.0907473 -42.6381729, -74.0886015 -42.6386149, -74.0886015 -42.6410773, -74.0847391 -42.641835, -74.0813917 -42.6434134, -74.0720362 -42.6446761, -74.0715212 -42.6468857, -74.0668005 -42.6473908, -74.060964 -42.6453706, -74.0595907 -42.6472014, -74.0753836 -42.6604577)",Línea 1,
"LINESTRING (-73.9946618 -42.6638538, -73.9771523 -42.6642325, -73.9785256 -42.6600668, -73.9823021 -42.6595618, -73.9848771 -42.655017, -73.9592995 -42.6553958, -73.956038 -42.6507245, -73.9489998 -42.6535021, -73.9436783 -42.6531233, -73.9424767 -42.6548908, -73.9362969 -42.656532, -73.931662 -42.6569107, -73.9256539 -42.6553958, -73.9186158 -42.6567845, -73.9172425 -42.6603192, -73.9206757 -42.6628439, -73.9181008 -42.6641062, -73.9134659 -42.6648636, -73.9134659 -42.6638538, -73.9127793 -42.6629701, -73.9078011 -42.6609504, -73.9043679 -42.6582994, -73.9062562 -42.6572895, -73.9026513 -42.6576682, -73.9024796 -42.6599405, -73.8978447 -42.6600668, -73.8975014 -42.6657472, -73.8966431 -42.6735727, -73.8763871 -42.6739513, -73.8769891 -42.651036, -73.8830819 -42.6283731, -73.9115808 -42.6202927, -73.94282 -42.6152363, -73.960755 -42.6172927, -73.978692 -42.6226307, -73.9954301 -42.6268292, -74.0128579 -42.6338038, -74.015433 -42.6481345, -74.016034 -42.6574461, -74.0107979 -42.6622128, -74.0037598 -42.6624652)",Línea 4,
"LINESTRING (-73.999352 -42.6665437, -73.9933439 -42.6722235, -73.9816709 -42.6750001, -73.9741178 -42.6758836, -73.9636465 -42.675505, -73.9607282 -42.6782814, -73.9566083 -42.6797958, -73.9464803 -42.681815, -73.9377256 -42.6814364, -73.9372106 -42.684465, -73.9361806 -42.6863578, -73.9294858 -42.6869887, -73.9214178 -42.6842126, -73.9001317 -42.6768932, -73.8966431 -42.6735727, -73.8763871 -42.6739513, -73.9267393 -42.7117156, -73.9751478 -42.7107065, -74.0057035 -42.6917834, -74.0135999 -42.6771456, -74.0077634 -42.6670486, -74.0072484 -42.6645241)",Línea 6,
"LINESTRING (-73.7130817 -42.658856, -73.7446673 -42.6454731, -73.7553103 -42.6338555, -73.7618334 -42.6305718, -73.7594302 -42.6247619, -73.7659533 -42.6227409, -73.7738497 -42.6138984, -73.7827761 -42.6161723, -73.7875826 -42.6121297, -73.7862093 -42.6073288, -73.7868959 -42.6045492, -73.7862093 -42.599495, -73.7882692 -42.5959568, -73.7827761 -42.5901436, -73.7776262 -42.5843299, -73.79977 -42.5820568, -73.8208848 -42.5871104, -73.8143617 -42.6512811, -73.7958223 -42.6719835, -73.7642367 -42.6916696, -73.7405475 -42.7037811, -73.7244113 -42.7042857, -73.7147983 -42.6878843, -73.7082752 -42.6770318)",Línea 7,
"LINESTRING (-73.739689 -42.6155406, -73.7177163 -42.6175619, -73.7262994 -42.6125087, -73.7365991 -42.6117507, -73.7341958 -42.605939, -73.7225229 -42.5988631, -73.7194329 -42.5958304, -73.7008935 -42.5973468, -73.6871606 -42.5983577, -73.6751443 -42.6461045, -73.6847573 -42.6471146, -73.6847573 -42.6509024, -73.6926538 -42.6549425, -73.7015802 -42.656205, -73.7098199 -42.6529225, -73.7149698 -42.6509024, -73.7180597 -42.6493873, -73.7190896 -42.6428215, -73.718403 -42.6342344, -73.7266427 -42.6405486, -73.7331659 -42.6372653, -73.7424356 -42.6304456, -73.7410623 -42.6210988)",Línea 8,
"LINESTRING (-74.0452471 -42.1304976, -74.0411272 -42.1157282, -74.0447321 -42.11229, -74.0507403 -42.1110166, -74.0497103 -42.1092337, -74.0521136 -42.106814, -74.0550318 -42.1064319, -74.0564051 -42.1073234, -74.0567484 -42.1043942, -74.0555468 -42.1049036, -74.0536585 -42.1051584, -74.0522852 -42.1038848, -74.0515986 -42.0982806, -74.0469637 -42.0981533, -74.0409556 -42.0906379, -74.0426722 -42.0897461, -74.0425005 -42.0883449, -74.0380373 -42.0874531, -74.0363207 -42.0801912, -74.0358057 -42.0777704, -74.0395823 -42.0778978, -74.039239 -42.0759866, -74.0356341 -42.0766237, -74.0340891 -42.0738205, -74.0176096 -42.0706349, -74.0069666 -42.0725463, -74.0019885 -42.0757318, -73.996152 -42.083249, -73.9970103 -42.0882175, -74.0037051 -42.0962427, -74.005765 -42.1070687, -74.0059367 -42.1116533, -74.0105715 -42.1185296, -74.0133181 -42.1215854, -74.0229311 -42.1268056, -74.0294543 -42.1287153, -74.0337458 -42.1292245, -74.036664 -42.1284606, -74.0407839 -42.1310068)",Línea 9,
