WKT,Nombre,Descripción
"LINESTRING (-70.8949731 -45.7480409, -72.2572778 -45.4405415, -72.4330591 -43.0805911, -72.5473564 -41.1997047, -71.7299341 -39.448566, -70.8949731 -37.800742, -70.3236841 -33.4448112, -70.8510278 -31.4048332, -70.3236841 -29.3961349, -69.0053247 -26.9167638, -68.8295434 -25.3783587, -68.8295434 -24.0610945, -67.8627466 -23.4577873, -67.64302 -22.6085174, -68.3021997 -21.6314735, -69.0053247 -19.243304, -69.1371606 -18.5364746, -67.5111841 -19.4506224, -67.5551294 -20.8121785, -66.8959497 -24.621635, -67.3793481 -26.7991491, -68.3021997 -30.878262, -68.9174341 -33.9566504, -70.5434106 -40.5593736, -70.4115747 -43.3048607, -70.3676294 -44.5079324, -70.4115747 -45.3479631)",Línea 4,
"LINESTRING (-70.0007225 -18.2290033, -70.0446678 -24.2866928, -70.3962303 -27.2933636, -70.9675194 -28.651709, -71.2311913 -29.6495502, -71.4069725 -32.1380984, -71.3190819 -33.1740348, -71.890371 -35.1016342, -72.2419335 -36.3148299, -72.8571678 -37.8919063, -73.296621 -40.5469218, -73.4724022 -37.3698659, -72.8571678 -36.668125, -72.7253319 -35.817516, -71.9343163 -33.9795048, -71.5827538 -33.1004384, -71.5607811 -30.4483578, -71.1652733 -28.5166474, -70.6599022 -26.2142623, -70.418203 -23.6844386, -70.2424217 -18.5626)",Línea 5,
