WKT,Nombre,Descripción
"LINESTRING (-72.9435509 -41.1562921, -72.9861229 -41.1485369, -73.0142754 -41.1464686, -73.0232018 -41.1402636, -73.0245751 -41.1231966, -73.005349 -41.1216448, -72.9792565 -41.1092294, -72.9826897 -41.0962942, -72.9552239 -41.0937068, -72.941491 -41.0962942, -72.9311913 -41.083874, -72.9339379 -41.0730043, -72.9002922 -41.0621329, -72.8920525 -41.0543665, -72.8920525 -41.0429742, -72.896859 -41.038831, -72.9099053 -41.0346876, -72.9140251 -41.0222557, -72.9208916 -41.0155208, -72.9208916 -41.0041217, -72.9112786 -40.9979032, -72.8961724 -41.0056762, -72.8783196 -41.0113759, -72.8796929 -40.9979032, -72.8700798 -40.995312, -72.8597801 -40.988056, -72.8762596 -40.9937572, -72.885186 -40.9844277, -72.8769463 -40.9688757, -72.8728264 -40.9626538, -72.8529137 -40.9600612, -72.833001 -40.9590241, -72.8130883 -40.9688757, -72.8130883 -40.9885743, -72.7622765 -41.0139665, -72.736184 -41.0212196, -72.7389305 -41.0056762, -72.7148979 -41.0238098, -72.679879 -41.0191474, -72.6633995 -41.0186293, -72.6743859 -41.0429742, -72.6743859 -41.0605797, -72.6565331 -41.0683454, -72.6400536 -41.0869792, -72.6366204 -41.0999163, -72.6263207 -41.1180239, -72.6173943 -41.1268172, -72.5933617 -41.1433662, -72.5803154 -41.1475028, -72.5796353 -41.1813572, -72.5473564 -41.1997047, -72.5391167 -41.2152022, -72.5604027 -41.2162352, -72.6125878 -41.2229495, -72.6297539 -41.223466, -72.6558464 -41.223466, -72.6997917 -41.2146856, -72.7258843 -41.2126195, -72.7588433 -41.2291468, -72.776696 -41.2461862, -72.8110283 -41.259608, -72.8357476 -41.2694145, -72.8632134 -41.2756074, -72.8769463 -41.2781875, -72.8762596 -41.290055, -72.8906792 -41.302952, -72.9263848 -41.3060469, -72.9476708 -41.3081101, -72.9538506 -41.3194564, -72.9717034 -41.3215192, -72.9785698 -41.3142993, -72.9785698 -41.302952, -72.9785698 -41.2879913, -73.0005425 -41.2498, -73.0101555 -41.2317288, -73.0094689 -41.2198507, -73.026635 -41.2162352, -72.993676 -41.2126195, -73.0087822 -41.1981547, -73.0142754 -41.1929879, -72.9854363 -41.1919545, -72.9552239 -41.189371, -72.9435509 -41.1733505, -72.9401177 -41.167148)",Línea 1,
"LINESTRING (-72.2644407 -41.2220474, -72.252081 -41.2019021, -72.2589475 -41.1884684, -72.2616941 -41.1812337, -72.2616941 -41.1688296, -72.2623807 -41.1455655, -72.2589475 -41.1326374, -72.2383481 -41.1186722, -72.2198087 -41.1083257, -72.188223 -41.1031519, -72.1689969 -41.0938379, -72.157324 -41.0808996, -72.1483976 -41.0798645, -72.1367246 -41.0907329, -72.1319181 -41.1083257, -72.1236783 -41.1186722, -72.0996457 -41.1248793, -72.0900327 -41.1284999, -72.0852262 -41.1367747, -72.0508939 -41.1186722, -72.025488 -41.1010822, -72.0351011 -41.0928029, -72.0721799 -41.1010822, -72.0769864 -41.1088431, -72.1023923 -41.1129818, -72.1044523 -41.1057388, -72.1168119 -41.0850402, -72.1387845 -41.0695119, -72.1641904 -41.0550155, -72.1799833 -41.0565688, -72.1985227 -41.0834875, -72.2204953 -41.0819348, -72.2177488 -41.0721002, -72.2589475 -41.0746884, -72.2816068 -41.0746884, -72.3097593 -41.0695119, -72.3324186 -41.0669235, -72.3502713 -41.0669235, -72.381857 -41.0850402, -72.4024564 -41.1222931, -72.3997098 -41.1378089, -72.3516446 -41.131603, -72.3372251 -41.131603, -72.3001462 -41.1388432, -72.2857267 -41.1419459, -72.2816068 -41.1528041, -72.2891599 -41.1889851, -72.2877866 -41.2168825, -72.2774869 -41.2179155)",Línea 2,
"LINESTRING (-72.6690901 -40.7714763, -72.6416242 -40.7709563, -72.6210249 -40.7704363, -72.607292 -40.7678361, -72.5908125 -40.7678361, -72.5564802 -40.7714763, -72.5303877 -40.7761562, -72.5139082 -40.7782361, -72.508415 -40.7844753, -72.4830091 -40.7849952, -72.4706495 -40.7823956, -72.4548567 -40.779276, -72.4727094 -40.7865549, -72.4555433 -40.7964321, -72.4349439 -40.8042289, -72.4143446 -40.8099459, -72.4047315 -40.8161821, -72.4006117 -40.8255354, -72.3806989 -40.8291724, -72.3724592 -40.8359263, -72.3621595 -40.8457962, -72.3449934 -40.846835, -72.3429334 -40.8551452, -72.324394 -40.8670893, -72.3092878 -40.8728009, -72.2667158 -40.8769546, -72.2536695 -40.8779929, -72.2440565 -40.8676086, -72.2131574 -40.8618965, -72.1904981 -40.8639737, -72.1808851 -40.875397, -72.1891248 -40.8862992, -72.2145307 -40.8899329, -72.2399366 -40.8899329, -72.2667158 -40.8935664, -72.3024214 -40.8925282, -72.312721 -40.8930473, -72.3257673 -40.8982377, -72.3278272 -40.8914901, -72.3367536 -40.8847419, -72.34568 -40.8774737, -72.3772657 -40.8847419, -72.3772657 -40.8925282, -72.3909986 -40.8899329, -72.4006117 -40.885261, -72.399925 -40.875397, -72.4260175 -40.8847419, -72.4431837 -40.8847419, -72.465843 -40.8847419, -72.4836958 -40.8821462, -72.5132215 -40.870724, -72.5276411 -40.8670893, -72.5379408 -40.8603386, -72.5454939 -40.8572226, -72.5372541 -40.843199, -72.541374 -40.8359263, -72.5770796 -40.8281333, -72.5976789 -40.8239766, -72.6340711 -40.8146231, -72.6484907 -40.8047486, -72.6539839 -40.8094262, -72.6690901 -40.8031894, -72.6793897 -40.7979915, -72.6848829 -40.7917536, -72.6855695 -40.7839554, -72.6780164 -40.7782361)",Línea 3,
"LINESTRING (-72.603956 -40.6696633, -72.5946863 -40.6563814, -72.5871332 -40.6472648, -72.5692804 -40.6384075, -72.5545175 -40.6407522, -72.5404413 -40.6420548, -72.5270517 -40.6394496, -72.5191553 -40.6350206, -72.5047357 -40.6368444, -72.4889429 -40.6326757, -72.4789865 -40.6285069, -72.4601037 -40.6248589, -72.4477441 -40.6238165, -72.4353845 -40.6266829, -72.4257715 -40.6344996, -72.4257715 -40.6394496, -72.428518 -40.6430968, -72.4099786 -40.6483068, -72.408262 -40.638147, -72.4010522 -40.6311124, -72.397619 -40.6287674, -72.3708398 -40.6368444, -72.3498971 -40.6410127, -72.3378808 -40.6430968, -72.332731 -40.6472648, -72.3306711 -40.6532558, -72.342344 -40.6649758, -72.342344 -40.6753919, -72.342344 -40.6824218, -72.3533304 -40.687108, -72.3687799 -40.6964794, -72.3739297 -40.7003838, -72.3856027 -40.7040276, -72.4007089 -40.7133967, -72.4065454 -40.7159989, -72.4151285 -40.7162592, -72.4240549 -40.7162592, -72.4247415 -40.7097533, -72.428518 -40.7045482, -72.4322946 -40.7040276, -72.4340112 -40.7087123, -72.4384744 -40.7188613, -72.4460275 -40.726407, -72.4628503 -40.7235449, -72.4675069 -40.7126766, -72.4831456 -40.7119558, -72.4997764 -40.7134927, -72.521899 -40.7035761, -72.5369625 -40.6954545, -72.5530127 -40.6878002, -72.5741231 -40.6792568, -72.5892222 -40.6836109, -72.6015527 -40.6735692)",Línea 4,
